Year,Tax Rate,Above,Below,,
2017,10.0%,$0,"$17,850",,
2017,15.0%,"$17,850","$72,500",,
2017,25.0%,"$72,500","$146,400",,
2017,28.0%,"$146,400","$223,050",,
2017,33.0%,"$223,050","$398,350",,
2017,35.0%,"$398,350","$450,000",,
2017,39.6%,"$450,000",,,
2016,10.0%,$0,"$17,850",,
2016,15.0%,"$17,850","$72,500",,
2016,25.0%,"$72,500","$146,400",,
2016,28.0%,"$146,400","$223,050",,
2016,33.0%,"$223,050","$398,350",,
2016,35.0%,"$398,350","$450,000",,
2016,39.6%,"$450,000",,,
2015,10.0%,$0,"$17,850",,
2015,15.0%,"$17,850","$72,500",,
2015,25.0%,"$72,500","$146,400",,
2015,28.0%,"$146,400","$223,050",,
2015,33.0%,"$223,050","$398,350",,
2015,35.0%,"$398,350","$450,000",,
2015,39.6%,"$450,000",,,
2014,10.0%,$0,"$17,850",,
2014,15.0%,"$17,850","$72,500",,
2014,25.0%,"$72,500","$146,400",,
2014,28.0%,"$146,400","$223,050",,
2014,33.0%,"$223,050","$398,350",,
2014,35.0%,"$398,350","$450,000",,
2014,39.6%,"$450,000",,,
2013,10.0%,$0,"$17,850",,
2013,15.0%,"$17,850","$72,500",,
2013,25.0%,"$72,500","$146,400",,
2013,28.0%,"$146,400","$223,050",,
2013,33.0%,"$223,050","$398,350",,
2013,35.0%,"$398,350","$450,000",,
2013,39.6%,"$450,000",,,
2012,10.0%,$0,"$17,400",,
2012,15.0%,"$17,400","$70,700",,
2012,25.0%,"$70,700","$142,700",,
2012,28.0%,"$142,700","$217,450",,
2012,33.0%,"$217,450","$388,350",,
2012,35.0%,"$388,350",-,,
2012,10.0%,$0,"$17,000",,
2011,15.0%,"$17,000","$69,000",,
2011,25.0%,"$69,000","$139,350",,
2011,28.0%,"$139,350","$212,300",,
2011,33.0%,"$212,300","$379,150",,
2011,35.0%,"$379,150",-,,
2010,10.0%,$0,"$16,750",,
2011,15.0%,"$16,750","$68,000",,
2010,25.0%,"$68,000","$137,300",,
2010,28.0%,"$137,300","$209,250",,
2010,33.0%,"$209,250","$373,650",,
2010,35.0%,"$373,650",-,,
2009,10.0%,$0,"$16,700",,
2009,15.0%,"$16,700","$67,900",,
2010,25.0%,"$67,900","$137,050",,
2009,28.0%,"$137,050","$208,850",,
2009,33.0%,"$208,850","$372,950",,
